Date,BRK-A,CL=F,GC=F,KE=F,NG=F,SQM,TSLA,ZF=F,ZR=F
2016-08-15,221995.0,45.7400016784668,1340.300048828125,411.75,2.5899999141693115,17.343111038208008,15.03933334350586,121.546875,1024.5
2016-08-16,220805.0,46.58000183105469,1350.5,411.25,2.617000102996826,17.14336585998535,14.907333374023438,121.3984375,1043.5
2016-08-17,223890.0,46.790000915527344,1342.699951171875,418.25,2.61899995803833,16.77143669128418,14.88266658782959,121.4375,1022.5
2016-08-18,223200.0,48.220001220703125,1351.199951171875,421.0,2.6740000247955322,16.971176147460938,14.900667190551758,121.6328125,1022.0
2016-08-19,223040.0,48.52000045776367,1340.4000244140625,418.75,2.5840001106262207,17.09515380859375,15.0,121.3828125,1025.5
2016-08-22,222446.0,47.04999923706055,1337.699951171875,413.75,2.678999900817871,17.315563201904297,14.862000465393066,121.5234375,1047.5
2016-08-23,223500.0,48.099998474121094,1340.5999755859375,407.25,2.760999917984009,17.301786422729492,14.989333152770996,121.46875,1030.5
2016-08-24,222824.0,46.77000045776367,1324.4000244140625,407.75,2.7960000038146973,17.170915603637695,14.841333389282227,121.4765625,1008.0
2016-08-25,222999.0,47.33000183105469,1320.0999755859375,405.5,2.8459999561309814,18.018098831176758,14.730667114257812,121.375,978.5
2016-08-26,222040.0,47.63999938964844,1321.5,389.75,2.871000051498413,17.956111907958984,14.666000366210938,120.9296875,973.0
2016-08-29,223400.0,46.97999954223633,1322.9000244140625,374.25,2.8529999256134033,17.611722946166992,14.346667289733887,121.2578125,947.0
2016-08-30,224850.0,46.349998474121094,1311.699951171875,367.75,2.8269999027252197,18.066316604614258,14.089332580566406,121.234375,928.0
2016-08-31,225760.0,44.70000076293945,1306.9000244140625,371.25,2.88700008392334,17.563514709472656,14.133999824523926,121.2421875,919.5
2016-09-01,225350.0,43.15999984741211,1312.199951171875,379.75,2.7920000553131104,18.20406723022461,13.38466739654541,121.2578125,920.5
2016-09-02,226050.0,44.439998626708984,1322.0999755859375,386.5,2.7920000553131104,19.106353759765625,13.185333251953125,121.25,956.0
2016-09-06,225849.0,44.83000183105469,1349.4000244140625,384.0,2.7170000076293945,18.872169494628906,13.522000312805176,121.578125,938.5
2016-09-07,224230.0,45.5,1344.300048828125,384.75,2.6760001182556152,19.037471771240234,13.447333335876465,121.578125,933.5
2016-09-08,224740.0,47.619998931884766,1336.800048828125,392.5,2.805999994277954,18.872169494628906,13.157333374023438,121.234375,930.5
2016-09-09,220110.0,45.880001068115234,1330.0999755859375,393.5,2.796999931335449,18.245391845703125,12.964667320251465,121.09375,929.0
2016-09-12,223520.0,46.290000915527344,1321.0,399.75,2.9149999618530273,18.279829025268555,13.220000267028809,121.2109375,950.5
2016-09-13,219150.0,44.900001525878906,1319.0,392.25,2.9089999198913574,17.997432708740234,13.069999694824219,120.9609375,938.0
2016-09-14,218610.0,43.58000183105469,1321.5,394.75,2.8889999389648438,17.763254165649414,13.093999862670898,121.265625,958.0
2016-09-15,220339.0,43.90999984741211,1313.5,416.0,2.927000045776367,17.625503540039062,13.361332893371582,121.3203125,979.0
2016-09-16,218400.0,43.029998779296875,1305.800048828125,417.25,2.947999954223633,17.391326904296875,13.69333267211914,121.2109375,981.5
